num  isNewUserForCar  isNewUserForOnePrice  userType  flyIntervalDayRange  cityCode  airportCode  airportTerminal  depTimeRange  arrTimeRange  isInterFlight  tripType  id
410  1  -1  -1  0  *  *  *  *  *  0  2  A410
411  1  -1  -1  0  *  *  *  *  *  0  2  A411
412  1  -1  -1  0  WGN  *  *  *  *  0  2  A412
413  1  -1  -1  0  KIR  *  *  *  *  0  2  A413
414  1  -1  -1  0  *  *  *  *  *  0  2  A414
415  1  -1  -1  0  *  *  *  *  *  0  2  A415
416  1  -1  -1  0  *  *  *  *  *  0  2  A416
417  1  -1  -1  0  HZG  *  *  *  *  0  1  A417
418  1  -1  -1  0  HZG  *  *  *  *  0  2  A418
419  1  -1  -1  0  LLF  *  *  *  *  0  2  A419
420  1  -1  -1  0  LZY  *  *  *  *  0  1  A420
421  -1  0  -1  5  *  PEK  *  *  *  0  1  B1
422  -1  0  -1  5  *  SZX  *  *  *  0  1  B2
423  -1  0  -1  5  *  XIY  *  *  *  0  1  B3
424  -1  0  -1  5  *  CAN  *  *  *  0  1  B4
425  -1  0  -1  5  *  CTU  *  *  *  0  1  B5
426  -1  0  -1  5  *  SHA  *  *  *  0  1  B6
427  -1  0  -1  5  *  HGH  *  *  *  0  1  B7
428  -1  0  -1  5  *  WUH  *  *  *  0  1  B8
429  -1  0  -1  5  *  PVG  *  *  *  0  1  B9
430  -1  0  -1  5  *  XMN  *  *  *  0  1  B10
431  -1  0  -1  5  *  CSX  *  *  *  0  1  B11
432  -1  0  -1  5  *  CKG  *  *  *  0  1  B12
433  -1  0  -1  5  *  URC  *  *  *  0  1  B13
434  -1  0  -1  5  *  SYX  *  *  *  0  1  B14
435  -1  0  -1  5  *  KMG  *  *  *  0  1  B15
436  -1  0  -1  5  *  NKG  *  *  *  0  1  B16
437  -1  0  -1  5  *  HRB  *  *  *  0  1  B17
438  -1  0  -1  5  *  KWE  *  *  *  0  1  B18
439  -1  0  -1  5  *  SHE  *  *  *  0  1  B19
440  -1  0  -1  5  *  FOC  *  *  *  0  1  B20
441  -1  0  -1  5  *  CGO  *  *  *  0  1  B21
442  -1  0  -1  5  *  NNG  *  *  *  0  1  B22
443  -1  0  -1  5  *  TSN  *  *  *  0  1  B23
444  -1  0  -1  5  *  TNA  *  *  *  0  1  B24
445  -1  0  -1  5  *  HFE  *  *  *  0  1  B25
446  -1  0  -1  5  *  HAK  *  *  *  0  1  B26
447  -1  0  -1  5  *  CGQ  *  *  *  0  1  B27
